date,time,underlying_symbol,side,strike,type,expiry,DTE,option_chain_id,diff,ewma_nbbo_bid,ewma_nbbo_ask,underlying_price,size,premium,volume,open_interest,bid_vol,no_side_vol,mid_vol,ask_vol,multi_vol,stock_multi_vol,implied_volatility,delta,theta,gamma,theo,rho,vega,next_earnings_date,bearish_or_bullish,report_flags,exchange,upstream_condition_detail,tags,sector,industry_type,canceled,er_time,full_name,marketcap,option_type,price,string
11/3/2025,1:07:39 PM,CORZ,NONE,20,C,1/16/2026,74,CORZ260116C00020000,-12.66375546,5,5.1,22.9,7260,3775200,10026,33729,9262,7260,44,2535,9158,0,0.931929369,0.703142829,-0.02252649,0.036010256,5.2,0.022102626,0.035679522,2/25/2026,-,,XPHO,late,"neutral,no_side",Technology,Software Infrastructure,FALSE,unknown,CORE SCIENTIFIC INC,6678720402,call,5.2,CORZ $20.00 C 01/16/2026
11/3/2025,1:01:28 PM,HUT,NONE,35,P,12/19/2025,46,HUT251219P00035000,36.36363636363637,1.6,2.06,55,600,112800,1666,5995,112,1100,64,390,77,0,1.341322785883147,-0.117452608,-0.056042989,0.007523261,1.880000000000001,-0.010510551,0.038470675,11/4/2025,-,,AMXO,late,"neutral,no_side,earnings_this_week",Financial Services,Capital Markets,FALSE,premarket,HUT 8 MINING CORP,5346044832,put,1.88,HUT $35.00 P 12/19/2025
11/3/2025,1:01:28 PM,HUT,NONE,50,P,11/7/2025,4,HUT251107P00050000,9.090909090909092,1.9,2.06,55,1500,309000,2108,368,219,1500,48,341,172,0,1.86628818,-0.279074572,-0.451363103,0.031276719,2.060000000000001,-0.001907847,0.019350509,11/4/2025,-,,AMXO,late,"neutral,no_side,earnings_this_week",Financial Services,Capital Markets,FALSE,premarket,HUT 8 MINING CORP,5346044832,put,2.06,HUT $50.00 P 11/07/2025
11/3/2025,1:01:06 PM,HUT,NONE,100,C,1/16/2026,74,HUT260116C00100000,81.81818181818183,3.35,3.75,55,1902,669504,4048,13812,187,3559,32,270,312,0,1.318036242816344,0.2388687631632847,-0.068437645,0.009499555,3.520000000000001,0.019499065,0.076788266,11/4/2025,-,,AMXO,late,"neutral,no_side,earnings_this_week",Financial Services,Capital Markets,FALSE,premarket,HUT 8 MINING CORP,5346044832,call,3.52,HUT $100.00 C 01/16/2026
11/3/2025,1:01:06 PM,HUT,NONE,55,C,1/16/2026,74,HUT260116C00055000,0,12.2,13,55,555,708735,894,7339,167,555,34,138,22,0,1.310451892330743,0.616275497,-0.08385187,0.011767064,12.77,0.042829076,0.094570012,11/4/2025,-,,AMXO,late,"neutral,no_side,earnings_this_week",Financial Services,Capital Markets,FALSE,premarket,HUT 8 MINING CORP,5346044832,call,12.77,HUT $55.00 C 01/16/2026
11/3/2025,1:01:06 PM,HUT,NONE,65,C,1/16/2026,74,HUT260116C00065000,18.181818181818183,9.2,9.6,55,2109,1990896,2328,3429,96,2109,8,115,84,0,1.307842059782371,0.504565703,-0.087398944,0.012316696,9.44,0.037123902,0.098790172,11/4/2025,-,,AMXO,late,"neutral,no_side,earnings_this_week",Financial Services,Capital Markets,FALSE,premarket,HUT 8 MINING CORP,5346044832,call,9.44,HUT $65.00 C 01/16/2026
11/3/2025,12:59:59 PM,DFDV,NONE,10,C,11/21/2025,18,DFDV251121C00010000,4.821802935010491,0.35,1.25,9.54,2000,220000,2003,0,1,2000,0,2,0,2000,1.529177450186561,0.512481749,-0.035895645,0.12308393,1.1,0.001868585,0.008447645,11/12/2025,-,Cross,XPHO,tlct,"neutral,no_side,earnings_next_week",Technology,Software Infrastructure,FALSE,postmarket,DeFi Development Corp.,232126890,call,1.1,DFDV $10.00 C 11/21/2025
11/3/2025,12:59:59 PM,DFDV,NONE,10,P,11/21/2025,18,DFDV251121P00010000,-4.821802935,0.95,2,9.54,2000,220000,2063,0,1,2000,10,52,0,2000,0.984924746,-0.54207855,-0.022973885,0.1901271109981079,1.100000000000001,-0.00309276,0.008404725,11/12/2025,-,Cross,XPHO,tlct,"neutral,no_side,earnings_next_week",Technology,Software Infrastructure,FALSE,postmarket,DeFi Development Corp.,232126890,put,1.1,DFDV $10.00 P 11/21/2025
11/3/2025,12:59:58 PM,META,ASK,655,C,11/7/2025,4,META251107C00655000,2.8257456828885403,4.95,5,637,343,171500,12480,3001,5304,0,1402,5774,3380,3,0.4409063565663849,0.2808357327604805,-1.239511606,0.011465725,5,0.019056697,0.2247987377633673,2/4/2026,bullish,,ARCO,auto,"ask_side,bullish",Communication Services,Internet Content & Information,FALSE,unknown,META PLATFORMS INC,1.41203E+12,call,5,META $655.00 C 11/07/2025
11/3/2025,12:59:58 PM,UBER,ASK,103,C,11/7/2025,4,UBER251107C00103000,3.025756439109783,2.18,2.19,99.975,492,107748,5729,2068,1299,0,898,3532,3541,0,0.825094097,0.3814134482703167,-0.411574644,0.044142506,2.190000000000005,0.003938828,0.03989426,11/4/2025,bullish,,XBXO,auto,"ask_side,bullish,earnings_this_week",Technology,Software,FALSE,premarket,UBER TECHNOLOGIES INC,2.01243E+11,call,2.19,UBER $103.00 C 11/07/2025
